player,nation,pos,squad,comp,age,born,90s,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg
Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,31,1991,28.5,4,41,14,34.1,1.44,0.49,0.1,0.29,28.0,18.0,0,0,2.8,2.8,0.07,1.2,1.2
Iñigo Lekue,ESP,DF,Athletic Club,La Liga,29,1993,14.7,0,9,1,11.1,0.61,0.07,0.0,0.0,26.7,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2
Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,26,1995,13.9,1,13,6,46.2,0.93,0.43,0.08,0.17,21.1,0.0,0,0,0.9,0.9,0.07,0.1,0.1
Félix Lemaréchal,CIV,MF,Brest,Ligue 1,18,2003,3.2,0,2,0,0.0,0.62,0.0,0.0,0.0,22.6,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Dexter Lembikisa,JAM,DF,Wolves,Premier League,18,2003,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Mario Lemina,GAB,MF,Wolves,Premier League,28,1993,14.4,0,9,2,22.2,0.62,0.14,0.0,0.0,27.4,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
Mario Lemina,GAB,MF,Nice,Ligue 1,28,1993,9.3,0,6,3,50.0,0.64,0.32,0.0,0.0,20.1,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Tim Lemperle,GER,MF,Köln,Bundesliga,20,2002,1.5,0,2,0,0.0,1.36,0.0,0.0,0.0,12.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Clément Lenglet,FRA,DF,Tottenham,Premier League,27,1995,22.4,0,13,2,15.4,0.58,0.09,0.0,0.0,15.5,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0
Bernd Leno,GER,GK,Fulham,Premier League,30,1992,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Christopher Lenz,GER,DF,Eint Frankfurt,Bundesliga,27,1994,14.3,0,12,2,16.7,0.84,0.14,0.0,0.0,23.4,1.0,0,0,0.6,0.6,0.05,-0.6,-0.6
Donovan Léon,GUF,GK,Auxerre,Ligue 1,29,1992,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Sergio León,ESP,FW,Valladolid,La Liga,33,1989,14.8,6,26,15,57.7,1.75,1.01,0.19,0.33,16.3,0.0,1,2,3.9,2.3,0.09,2.1,2.7
Johann Lepenant,FRA,MF,Lyon,Ligue 1,19,2002,21.5,1,19,1,5.3,0.88,0.05,0.05,1.0,23.8,0.0,0,0,0.9,0.9,0.05,0.1,0.1
Mehdi Léris,ALG,DF,Sampdoria,Serie A,24,1998,27.3,1,30,12,40.0,1.1,0.44,0.03,0.08,12.8,0.0,0,0,3.4,3.4,0.11,-2.4,-2.4
Jefferson Lerma,COL,MF,Bournemouth,Premier League,27,1994,36.1,5,35,10,28.6,0.97,0.28,0.14,0.5,17.6,0.0,0,0,2.6,2.6,0.07,2.4,2.4
Benjamin Leroy,FRA,GK,Ajaccio,Ligue 1,33,1989,31.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Léo Leroy,FRA,MF,Montpellier,Ligue 1,22,2000,13.2,0,18,6,33.3,1.36,0.45,0.0,0.0,20.6,1.0,0,0,1.1,1.1,0.06,-1.1,-1.1
Alexandre Letellier,FRA,GK,Paris S-G,Ligue 1,31,1990,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ruan Levine,BRA,FW,Ajaccio,Ligue 1,23,1999,0.3,0,2,1,50.0,7.5,3.75,0.0,0.0,13.1,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2
Robert Lewandowski,POL,FW,Barcelona,La Liga,33,1988,31.6,23,134,56,41.8,4.24,1.77,0.17,0.41,13.8,5.0,0,1,24.3,23.5,0.18,-1.3,-0.5
Jamie Leweling,GER,FW,Union Berlin,Bundesliga,21,2001,2.9,1,9,5,55.6,3.06,1.7,0.11,0.2,16.7,0.0,0,0,0.7,0.7,0.07,0.3,0.3
Jamal Lewis,NIR,DF,Newcastle Utd,Premier League,24,1998,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Rico Lewis,ENG,DF,Manchester City,Premier League,17,2004,10.0,0,5,2,40.0,0.5,0.2,0.0,0.0,21.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Keane Lewis-Potter,ENG,FW,Brentford,Premier League,21,2001,3.6,0,7,2,28.6,1.96,0.56,0.0,0.0,14.1,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5
Dimitri Liénard,FRA,MF,Strasbourg,Ligue 1,34,1988,17.1,0,13,2,15.4,0.76,0.12,0.0,0.0,21.8,2.0,0,0,0.6,0.6,0.05,-0.6,-0.6
Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,26,1996,27.8,1,17,3,17.6,0.61,0.11,0.06,0.33,16.4,0.0,0,0,1.4,1.4,0.08,-0.4,-0.4
Matthijs de Ligt,NED,DF,Bayern Munich,Bundesliga,22,1999,26.7,3,23,8,34.8,0.86,0.3,0.13,0.38,16.0,0.0,0,0,1.1,1.1,0.05,1.9,1.9
Dimitris Limnios,GRE,FW,Köln,Bundesliga,24,1998,0.4,0,1,0,0.0,2.31,0.0,0.0,0.0,19.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,28,1994,15.2,0,3,0,0.0,0.2,0.0,0.0,0.0,7.9,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
Jesper Lindstrøm,DEN,MF,Eint Frankfurt,Bundesliga,22,2000,18.7,7,45,19,42.2,2.41,1.02,0.16,0.37,18.3,4.0,0,0,5.9,5.9,0.13,1.1,1.1
Karol Linetty,POL,MF,Torino,Serie A,27,1995,21.0,1,16,4,25.0,0.76,0.19,0.06,0.25,20.9,0.0,0,0,1.0,1.0,0.06,0.0,0.0
Jesse Lingard,ENG,MF,Nott'ham Forest,Premier League,29,1992,10.3,0,10,2,20.0,0.98,0.2,0.0,0.0,19.3,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0
Pol Lirola,ESP,DF,Elche,La Liga,24,1997,7.0,1,1,1,100.0,0.14,0.14,1.0,1.0,10.5,0.0,0,0,0.2,0.2,0.2,0.8,0.8
Mateusz Lis,POL,GK,Troyes,Ligue 1,25,1997,8.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Marcin Listkowski,POL,DF,Lecce,Serie A,24,1998,0.9,0,1,0,0.0,1.17,0.0,0.0,0.0,13.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Valentino Livramento,ENG,GK,Southampton,Premier League,19,2002,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Dejan Ljubicic,AUT,MF,Köln,Bundesliga,24,1997,19.0,5,34,14,41.2,1.79,0.74,0.12,0.29,22.1,0.0,1,1,3.3,2.6,0.08,1.7,1.4
Javier Llabrés,ESP,FW,Mallorca,La Liga,19,2002,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Diego Llorente,ESP,DF,Leeds United,Premier League,28,1993,7.2,0,6,0,0.0,0.83,0.0,0.0,0.0,12.5,0.0,0,0,0.7,0.7,0.12,-0.7,-0.7
Diego Llorente,ESP,DF,Roma,Serie A,28,1993,6.4,0,4,1,25.0,0.63,0.16,0.0,0.0,11.4,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4
Marcos Llorente,ESP,MF,Atlético Madrid,La Liga,27,1995,18.9,1,24,9,37.5,1.27,0.48,0.04,0.11,17.9,0.0,0,0,2.1,2.1,0.09,-1.1,-1.1
Hugo Lloris,FRA,GK,Tottenham,Premier League,35,1986,24.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Giovani Lo Celso,ARG,MF,Villarreal,La Liga,26,1996,12.5,2,30,7,23.3,2.4,0.56,0.07,0.29,19.8,3.0,0,0,2.5,2.5,0.08,-0.5,-0.5
Stanislav Lobotka,SVK,MF,Napoli,Serie A,27,1994,34.5,1,11,4,36.4,0.32,0.12,0.09,0.25,22.3,0.0,0,0,0.6,0.6,0.06,0.4,0.4
Manuel Locatelli,ITA,MF,Juventus,Serie A,24,1998,27.2,0,29,12,41.4,1.07,0.44,0.0,0.0,23.9,0.0,0,0,1.5,1.5,0.05,-1.5,-1.5
Luka Lochoshvili,GEO,DF,Cremonese,Serie A,24,1998,20.4,1,8,2,25.0,0.39,0.1,0.13,0.5,16.3,0.0,0,0,0.6,0.6,0.08,0.4,0.4
Banzouzi Locko,FRA,DF,Reims,Ligue 1,20,2002,11.8,0,5,0,0.0,0.42,0.0,0.0,0.0,22.3,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Banzouzi Locko,FRA,DF,Brest,Ligue 1,20,2002,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Renan Lodi,BRA,DF,Nott'ham Forest,Premier League,24,1998,24.6,0,15,0,0.0,0.61,0.0,0.0,0.0,19.9,2.0,0,0,1.0,1.0,0.06,-1.0,-1.0
Ruben Loftus-Cheek,ENG,MF,Chelsea,Premier League,26,1996,17.1,0,9,2,22.2,0.53,0.12,0.0,0.0,18.6,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8
Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,24,1997,28.0,1,33,7,21.2,1.18,0.25,0.03,0.14,16.0,0.0,0,0,3.6,3.6,0.11,-2.6,-2.6
Ademola Lookman,NGA,FW,Atalanta,Serie A,24,1997,19.2,13,49,23,46.9,2.55,1.2,0.2,0.43,15.8,1.0,3,3,9.1,6.7,0.14,3.9,3.3
Anthony Lopes,POR,GK,Lyon,Ligue 1,31,1990,31.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Rony Lopes,POR,FW,Troyes,Ligue 1,26,1995,26.1,7,57,20,35.1,2.19,0.77,0.12,0.35,19.3,5.0,0,0,4.9,4.9,0.09,2.1,2.1
David López,ESP,DF,Girona,La Liga,32,1989,18.4,3,11,8,72.7,0.6,0.44,0.27,0.38,16.9,0.0,0,0,1.5,1.5,0.14,1.5,1.5
Diego López,ESP,GK,Rayo Vallecano,La Liga,40,1981,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Maxime Lopez,FRA,MF,Sassuolo,Serie A,24,1997,25.5,0,16,5,31.3,0.63,0.2,0.0,0.0,22.7,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0
Pau López,ESP,GK,Marseille,Ligue 1,27,1994,32.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Unai López,ESP,MF,Rayo Vallecano,La Liga,26,1995,13.9,1,26,10,38.5,1.87,0.72,0.04,0.1,26.5,2.0,0,0,1.3,1.3,0.05,-0.3,-0.3
Dion Lopy,SEN,MF,Reims,Ligue 1,20,2002,15.3,0,18,4,22.2,1.17,0.26,0.0,0.0,23.3,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9
Anthony Losilla,FRA,MF,Bochum,Bundesliga,36,1986,30.2,2,27,8,29.6,0.89,0.26,0.07,0.25,17.2,0.0,0,0,1.9,1.9,0.07,0.1,0.1
Jordan Lotomba,SUI,DF,Nice,Ligue 1,23,1998,27.3,0,13,5,38.5,0.48,0.18,0.0,0.0,19.8,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9
Matteo Lovato,ITA,DF,Salernitana,Serie A,22,2000,9.0,0,1,0,0.0,0.11,0.0,0.0,0.0,22.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Dejan Lovren,CRO,DF,Lyon,Ligue 1,33,1989,16.2,1,13,3,23.1,0.8,0.19,0.08,0.33,12.5,1.0,0,0,0.8,0.8,0.06,0.2,0.2
Sandi Lovrić,SVN,MF,Udinese,Serie A,24,1998,26.0,5,71,18,25.4,2.73,0.69,0.07,0.28,22.3,4.0,0,0,4.8,4.8,0.07,0.2,0.2
Jamal Lowe,JAM,FW,Bournemouth,Premier League,28,1994,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Anthony Lozano,HON,FW,Cádiz,La Liga,29,1993,16.0,1,30,8,26.7,1.87,0.5,0.03,0.13,16.7,0.0,0,0,2.7,2.7,0.09,-1.7,-1.7
Hirving Lozano,MEX,FW,Napoli,Serie A,27,1995,17.8,3,41,13,31.7,2.3,0.73,0.05,0.15,18.5,0.0,1,1,5.4,4.6,0.11,-2.4,-2.6
Pol Lozano,ESP,MF,Espanyol,La Liga,22,1999,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Jean Lucas,BRA,MF,Monaco,Ligue 1,24,1998,3.2,0,5,3,60.0,1.55,0.93,0.0,0.0,18.3,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6
Jhon Lucumí,COL,DF,Bologna,Serie A,24,1998,32.2,0,11,2,18.2,0.34,0.06,0.0,0.0,14.5,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7
José Luis Gayà,ESP,DF,Valencia,La Liga,27,1995,30.1,1,22,8,36.4,0.73,0.27,0.05,0.13,23.8,2.0,0,1,1.9,1.1,0.05,-0.9,-0.1
José Luis Morales,ESP,FW,Villarreal,La Liga,35,1987,13.5,7,41,21,51.2,3.05,1.56,0.17,0.33,14.7,0.0,0,0,6.5,6.5,0.17,0.5,0.5
José Luis Palomino,ARG,DF,Atalanta,Serie A,32,1990,8.4,1,6,3,50.0,0.71,0.36,0.17,0.33,12.6,0.0,0,0,0.5,0.5,0.09,0.5,0.5
Douglas Luiz,BRA,MF,Aston Villa,Premier League,24,1998,32.5,6,34,12,35.3,1.05,0.37,0.18,0.5,25.0,7.0,0,0,2.8,2.8,0.08,3.2,3.2
Romelu Lukaku,BEL,FW,Inter,Serie A,29,1993,18.5,10,49,20,40.8,2.66,1.08,0.16,0.4,15.0,0.0,2,2,9.0,7.4,0.15,1.0,0.6
Castello Lukeba,FRA,DF,Lyon,Ligue 1,19,2002,33.2,2,13,5,38.5,0.39,0.15,0.15,0.4,10.2,0.0,0,0,1.2,1.2,0.09,0.8,0.8
Dodi Lukebakio,BEL,FW,Hertha BSC,Bundesliga,24,1997,26.6,11,59,22,37.3,2.22,0.83,0.1,0.27,20.3,1.0,5,5,8.6,4.7,0.08,2.4,1.3
Saša Lukić,SRB,MF,Fulham,Premier League,25,1996,4.6,0,5,1,20.0,1.09,0.22,0.0,0.0,27.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Saša Lukić,SRB,MF,Torino,Serie A,25,1996,13.3,2,15,3,20.0,1.13,0.23,0.07,0.33,20.2,1.0,1,1,1.7,0.9,0.06,0.3,0.1
Andriy Lunin,UKR,GK,Real Madrid,La Liga,23,1999,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Andrey Lunyov,RUS,GK,Leverkusen,Bundesliga,30,1991,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Sebastiano Luperto,ITA,DF,Empoli,Serie A,25,1996,34.8,2,18,4,22.2,0.52,0.11,0.11,0.5,12.7,0.0,0,0,1.2,1.2,0.07,0.8,0.8
Lyanco,BRA,DF,Southampton,Premier League,25,1997,13.1,1,12,4,33.3,0.92,0.31,0.08,0.25,19.1,0.0,0,0,0.6,0.6,0.05,0.4,0.4
Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,28,1993,12.3,2,19,6,31.6,1.54,0.49,0.11,0.33,25.1,5.0,0,0,0.8,0.8,0.04,1.2,1.2
Youssouf M'Changama,COM,MF,Auxerre,Ligue 1,31,1990,12.0,0,18,2,11.1,1.5,0.17,0.0,0.0,30.3,7.0,0,0,0.6,0.6,0.03,-0.6,-0.6
Awer Mabil,AUS,GK,Cádiz,La Liga,26,1995,1.8,0,3,1,33.3,1.64,0.55,0.0,0.0,17.3,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
Alexis Mac Allister,ARG,MF,Brighton,Premier League,23,1998,32.1,10,80,28,35.0,2.49,0.87,0.05,0.14,22.5,8.0,6,6,12.1,7.3,0.09,-2.1,-3.3
Deiver Machado,COL,DF,Lens,Ligue 1,28,1993,24.3,4,18,7,38.9,0.74,0.29,0.22,0.57,19.3,1.0,0,0,1.2,1.2,0.07,2.8,2.8
Darwin Machís,VEN,FW,Valladolid,La Liga,29,1993,6.7,0,19,6,31.6,2.85,0.9,0.0,0.0,18.7,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1
James Maddison,ENG,DF,Leicester City,Premier League,25,1996,27.6,10,83,27,32.5,3.01,0.98,0.11,0.33,21.1,13.0,1,2,8.7,6.6,0.08,1.3,2.4
Noni Madueke,ENG,FW,Chelsea,Premier League,20,2002,7.1,1,12,6,50.0,1.68,0.84,0.08,0.17,15.6,0.0,0,0,0.9,0.9,0.08,0.1,0.1
Pablo Maffeo,ESP,DF,Mallorca,La Liga,25,1997,33.1,2,21,4,19.0,0.64,0.12,0.1,0.5,17.4,0.0,0,0,1.8,1.8,0.08,0.2,0.2
Lisandro Magallán,ARG,DF,Elche,La Liga,28,1993,10.0,0,6,2,33.3,0.6,0.2,0.0,0.0,11.2,0.0,0,0,0.6,0.6,0.11,-0.6,-0.6
Soungoutou Magassa,FRA,MF,Monaco,Ligue 1,18,2003,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Giulio Maggiore,ITA,MF,Salernitana,Serie A,24,1998,9.9,0,6,0,0.0,0.6,0.0,0.0,0.0,16.7,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5
Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,26,1995,17.0,0,7,1,14.3,0.41,0.06,0.0,0.0,19.1,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5
Hugo Magnetti,FRA,MF,Brest,Ligue 1,24,1998,18.8,1,17,6,35.3,0.91,0.32,0.06,0.17,24.7,0.0,0,0,0.8,0.8,0.05,0.2,0.2
Yohann Magnin,FRA,MF,Clermont Foot,Ligue 1,25,1997,26.7,0,17,1,5.9,0.64,0.04,0.0,0.0,19.8,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1
Harry Maguire,ENG,DF,Manchester Utd,Premier League,29,1993,8.5,0,3,0,0.0,0.35,0.0,0.0,0.0,9.0,0.0,0,0,0.3,0.3,0.12,-0.3,-0.3
Jon Magunacelaya,ESP,GK,Real Sociedad,La Liga,22,2000,0.7,0,1,1,100.0,1.38,1.38,0.0,0.0,10.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Riyad Mahrez,ALG,FW,Manchester City,Premier League,31,1991,21.3,5,42,12,28.6,1.97,0.56,0.1,0.33,17.2,7.0,1,1,5.5,4.7,0.11,-0.5,-0.7
Arne Maier,GER,MF,Augsburg,Bundesliga,23,1999,21.8,5,28,10,35.7,1.29,0.46,0.18,0.5,21.1,3.0,0,0,1.6,1.6,0.06,3.4,3.4
Mike Maignan,FRA,GK,Milan,Serie A,27,1995,22.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Linton Maina,GER,MF,Köln,Bundesliga,23,1999,24.9,3,35,13,37.1,1.41,0.52,0.09,0.23,15.3,0.0,0,0,4.6,4.6,0.13,-1.6,-1.6
Kobbie Mainoo,ENG,MF,Manchester Utd,Premier League,17,2005,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ainsley Maitland-Niles,ENG,MF,Southampton,Premier League,24,1997,15.6,0,1,1,100.0,0.06,0.06,0.0,0.0,31.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Jordan Majchrzak,POL,FW,Roma,Serie A,17,2004,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Lovro Majer,CRO,MF,Rennes,Ligue 1,24,1998,18.5,2,33,11,33.3,1.78,0.59,0.03,0.09,20.4,5.0,1,1,3.3,2.5,0.08,-1.3,-1.5
Jean-Victor Makengo,FRA,MF,Udinese,Serie A,24,1998,8.9,0,7,0,0.0,0.78,0.0,0.0,0.0,21.4,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
Jean-Victor Makengo,FRA,MF,Lorient,Ligue 1,24,1998,11.8,0,5,2,40.0,0.42,0.17,0.0,0.0,26.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Béni Makouana,CGO,FW,Montpellier,Ligue 1,19,2002,2.2,0,6,1,16.7,2.73,0.45,0.0,0.0,13.9,0.0,0,0,0.8,0.8,0.14,-0.8,-0.8
Nemanja Maksimović,SRB,MF,Getafe,La Liga,27,1995,22.8,0,18,7,38.9,0.79,0.31,0.0,0.0,14.2,0.0,0,0,1.8,1.8,0.1,-1.8,-1.8
Tyrell Malacia,NED,DF,Manchester Utd,Premier League,22,1999,15.5,0,5,2,40.0,0.32,0.13,0.0,0.0,22.1,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
Lorenzo Malagrida,ITA,MF,Sampdoria,Serie A,18,2003,1.2,0,2,2,100.0,1.65,1.65,0.0,0.0,13.3,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2
Daniel Maldini,ITA,FW,Spezia,Serie A,20,2001,7.0,2,15,6,40.0,2.15,0.86,0.13,0.33,19.0,1.0,0,0,1.2,1.2,0.08,0.8,0.8
Youssef Maleh,ITA,MF,Fiorentina,Serie A,23,1998,3.3,0,7,0,0.0,2.12,0.0,0.0,0.0,15.9,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6
Youssef Maleh,ITA,MF,Lecce,Serie A,23,1998,7.5,0,6,1,16.7,0.8,0.13,0.0,0.0,21.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Donyell Malen,NED,FW,Dortmund,Bundesliga,23,1999,19.0,9,64,30,46.9,3.38,1.58,0.14,0.3,15.9,3.0,0,0,9.1,9.1,0.15,-0.1,-0.1
Ruslan Malinovskyi,UKR,MF,Atalanta,Serie A,29,1993,6.1,1,19,6,31.6,3.09,0.98,0.05,0.17,25.6,0.0,0,0,0.6,0.6,0.03,0.4,0.4
Ruslan Malinovskyi,UKR,MF,Marseille,Ligue 1,29,1993,13.6,1,35,7,20.0,2.57,0.51,0.03,0.14,24.3,6.0,0,0,2.3,2.3,0.06,-1.3,-1.3
Hugo Mallo,ESP,DF,Celta Vigo,La Liga,31,1991,24.0,0,19,7,36.8,0.79,0.29,0.0,0.0,13.0,0.0,0,0,1.4,1.4,0.07,-1.4,-1.4
Mickael Malsa,MTQ,MF,Valladolid,La Liga,26,1995,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,21,2000,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,22,1999,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gianluca Mancini,ITA,DF,Roma,Serie A,26,1996,31.8,1,22,5,22.7,0.69,0.16,0.05,0.2,13.1,0.0,0,0,2.3,2.3,0.1,-1.3,-1.3
Steve Mandanda,FRA,GK,Rennes,Ligue 1,37,1985,33.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,28,1994,20.6,0,6,0,0.0,0.29,0.0,0.0,0.0,22.7,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
Aïssa Mandi,ALG,DF,Villarreal,La Liga,30,1991,16.2,0,2,2,100.0,0.12,0.12,0.0,0.0,19.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Rolando Mandragora,ITA,MF,Fiorentina,Serie A,25,1997,21.7,2,37,5,13.5,1.71,0.23,0.05,0.4,22.9,2.0,0,0,1.5,1.5,0.04,0.5,0.5
Sadio Mané,SEN,FW,Bayern Munich,Bundesliga,30,1992,15.8,7,53,20,37.7,3.35,1.26,0.11,0.3,12.8,0.0,1,2,8.9,7.2,0.14,-1.9,-1.2
Orel Mangala,BEL,MF,Nott'ham Forest,Premier League,24,1998,17.2,1,9,3,33.3,0.52,0.17,0.11,0.33,20.7,0.0,0,0,0.6,0.6,0.06,0.4,0.4
Thomas Mangani,FRA,MF,Ajaccio,Ligue 1,35,1987,14.8,1,9,0,0.0,0.61,0.0,0.0,0.0,27.1,2.0,1,2,2.0,0.4,0.05,-1.0,-0.4
Vito Mannone,ITA,GK,Lorient,Ligue 1,34,1988,17.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Javier Manquillo,ESP,DF,Newcastle Utd,Premier League,28,1994,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Myziane Maolida,FRA,MF,Reims,Ligue 1,23,1999,2.6,1,6,2,33.3,2.33,0.78,0.17,0.5,17.2,0.0,0,0,0.5,0.5,0.08,0.5,0.5
Myziane Maolida,FRA,MF,Hertha BSC,Bundesliga,23,1999,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Faitout Maouassa,FRA,DF,Montpellier,Ligue 1,24,1998,21.4,5,34,12,35.3,1.59,0.56,0.15,0.42,20.1,1.0,0,0,3.3,3.3,0.1,1.7,1.7
Sekou Mara,FRA,FW,Southampton,Premier League,20,2002,6.2,1,17,4,23.5,2.76,0.65,0.06,0.25,16.2,0.0,0,0,1.0,1.0,0.06,0.0,0.0
Maranhão,BRA,GK,Valencia,La Liga,25,1996,5.0,1,17,2,11.8,3.42,0.4,0.06,0.5,14.6,0.0,0,0,1.5,1.3,0.08,-0.5,-0.3
Marcão,BRA,DF,Sevilla,La Liga,26,1996,4.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Solly March,ENG,MF,Brighton,Premier League,28,1994,30.2,7,74,31,41.9,2.45,1.03,0.09,0.23,16.2,1.0,0,0,8.1,8.1,0.11,-1.1,-1.1
Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,34,1988,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Federico Marchetti,ITA,GK,Spezia,Serie A,39,1983,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
