player,nation,pos,squad,comp,age,born,90s,sca,sca90,sca_passlive,sca_passdead,sca_to,sca_sh,sca_fld,sca_def,gca,gca90,gca_passlive,gca_passdead,gca_to,gca_sh,gca_fld,gca_def
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,25,1996,10.9,36.0,3.32,23.0,4.0,4.0,1.0,4.0,0.0,5.0,0.46,3.0,0.0,1.0,0.0,1.0,0.0
Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0.0,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Ampadu,WAL,DF,Spezia,Serie A,21,2000,29.3,40.0,1.36,33.0,0.0,0.0,4.0,2.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,44.0,1.98,38.0,0.0,0.0,0.0,2.0,4.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0
Ayoub Amraoui,MAR,MF,Nice,Ligue 1,18,2004,3.3,4.0,1.22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,25.0,0.81,20.0,3.0,0.0,0.0,1.0,1.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0
Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,19,2002,4.6,22.0,4.83,16.0,0.0,2.0,0.0,4.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0
Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,99.0,3.01,79.0,1.0,10.0,6.0,3.0,0.0,15.0,0.46,8.0,0.0,4.0,2.0,1.0,0.0
Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,70.0,2.16,62.0,0.0,0.0,3.0,3.0,2.0,6.0,0.19,5.0,0.0,0.0,0.0,1.0,0.0
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,32.0,1.99,26.0,0.0,2.0,2.0,2.0,0.0,4.0,0.25,2.0,0.0,0.0,2.0,0.0,0.0
Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,45.0,1.68,37.0,0.0,0.0,4.0,1.0,3.0,4.0,0.15,3.0,0.0,0.0,0.0,0.0,1.0
Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,88.0,3.03,61.0,20.0,1.0,2.0,3.0,1.0,10.0,0.34,8.0,1.0,0.0,1.0,0.0,0.0
Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,5.0,0.77,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.31,1.0,0.0,0.0,0.0,0.0,1.0
Jaidon Anthony,ENG,FW,Bournemouth,Premier League,22,1999,14.0,38.0,2.72,28.0,3.0,4.0,1.0,1.0,1.0,4.0,0.29,2.0,0.0,1.0,0.0,1.0,0.0
Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,39.0,1.2,28.0,4.0,2.0,5.0,0.0,0.0,5.0,0.15,3.0,0.0,0.0,2.0,0.0,0.0
Josep Antoni Gayá,ESP,GK,Mallorca,La Liga,22,2000,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Antonio,ESP,MF,Cádiz,La Liga,18,2004,0.5,1.0,1.91,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.91,1.0,0.0,0.0,0.0,0.0,0.0
Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,9.0,1.37,7.0,0.0,1.0,0.0,1.0,0.0,3.0,0.46,2.0,0.0,1.0,0.0,0.0,0.0
Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,39.0,1.92,24.0,0.0,6.0,4.0,5.0,0.0,9.0,0.44,6.0,0.0,2.0,1.0,0.0,0.0
Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20.0,74.0,3.69,61.0,0.0,5.0,3.0,4.0,1.0,7.0,0.35,6.0,0.0,1.0,0.0,0.0,0.0
Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,2.0,0.59,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,28,1994,22.0,79.0,3.59,46.0,16.0,5.0,3.0,9.0,0.0,12.0,0.54,7.0,1.0,2.0,0.0,2.0,0.0
Anuar,MAR,MF,Valladolid,La Liga,27,1995,2.3,4.0,1.71,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.43,0.0,0.0,1.0,0.0,0.0,0.0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,24,1998,5.8,15.0,2.57,9.0,0.0,3.0,3.0,0.0,0.0,2.0,0.34,2.0,0.0,0.0,0.0,0.0,0.0
Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,5.0,1.8,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Appiah,FRA,GK,Nantes,Ligue 1,30,1992,8.8,11.0,1.25,8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0
Stredair Appuah,FRA,GK,Nantes,Ligue 1,18,2004,0.7,6.0,8.18,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.36,1.0,0.0,0.0,0.0,0.0,0.0
Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11.0,25.0,2.27,8.0,14.0,1.0,1.0,0.0,1.0,3.0,0.27,2.0,1.0,0.0,0.0,0.0,0.0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,10.0,1.83,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20.0,18.0,0.9,15.0,0.0,0.0,3.0,0.0,0.0,6.0,0.3,5.0,0.0,0.0,1.0,0.0,0.0
Cameron Archer,ENG,FW,Aston Villa,Premier League,21,2001,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,3.0,2.11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Aribo,NGA,DF,Southampton,Premier League,26,1996,13.6,27.0,1.99,23.0,0.0,1.0,1.0,1.0,1.0,2.0,0.15,1.0,0.0,1.0,0.0,0.0,0.0
Adam Armstrong,ENG,GK,Southampton,Premier League,25,1997,14.8,24.0,1.62,19.0,0.0,2.0,1.0,1.0,1.0,2.0,0.13,1.0,0.0,0.0,0.0,0.0,1.0
Stuart Armstrong,SCO,GK,Southampton,Premier League,30,1992,15.6,50.0,3.2,39.0,1.0,0.0,6.0,4.0,0.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0
