player,nation,pos,squad,comp,age,born,90s,sca,sca90,sca_passlive,sca_passdead,sca_to,sca_sh,sca_fld,sca_def,gca,gca90,gca_passlive,gca_passdead,gca_to,gca_sh,gca_fld,gca_def
Igor,BRA,DF,Fiorentina,Serie A,24,1998,22.9,19.0,0.83,16.0,0.0,2.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Kelechi Iheanacho,NGA,FW,Leicester City,Premier League,25,1996,12.5,45.0,3.59,33.0,1.0,4.0,5.0,2.0,0.0,6.0,0.48,6.0,0.0,0.0,0.0,0.0,0.0
Jonathan Ikone,FRA,FW,Fiorentina,Serie A,24,1998,22.3,67.0,3.01,50.0,0.0,11.0,3.0,3.0,0.0,14.0,0.63,9.0,0.0,3.0,0.0,2.0,0.0
Ivan Ilić,SRB,MF,Hellas Verona,Serie A,21,2001,9.5,28.0,2.96,14.0,12.0,2.0,0.0,0.0,0.0,2.0,0.21,1.0,0.0,1.0,0.0,0.0,0.0
Ivan Ilić,SRB,MF,Torino,Serie A,21,2001,13.1,35.0,2.68,28.0,5.0,0.0,0.0,1.0,1.0,5.0,0.38,4.0,0.0,0.0,0.0,1.0,0.0
Rareş Ilie,ROU,GK,Nice,Ligue 1,19,2003,1.6,6.0,3.65,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Iling-Junior,ENG,FW,Juventus,Serie A,18,2003,3.5,14.0,3.99,11.0,0.0,1.0,0.0,1.0,1.0,4.0,1.14,3.0,0.0,0.0,0.0,0.0,1.0
Emirhan İlkhan,TUR,MF,Torino,Serie A,18,2004,1.0,5.0,5.17,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.03,1.0,0.0,0.0,0.0,0.0,0.0
Emirhan İlkhan,TUR,MF,Sampdoria,Serie A,18,2004,1.2,3.0,2.45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asier Illarramendi,ESP,MF,Real Sociedad,La Liga,32,1990,12.0,27.0,2.26,22.0,3.0,0.0,0.0,1.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0
Ciro Immobile,ITA,FW,Lazio,Serie A,32,1990,24.7,72.0,2.92,48.0,0.0,7.0,12.0,5.0,0.0,15.0,0.61,10.0,0.0,0.0,3.0,2.0,0.0
Danny Ings,ENG,FW,West Ham,Premier League,30,1992,8.6,12.0,1.4,11.0,0.0,1.0,0.0,0.0,0.0,3.0,0.35,3.0,0.0,0.0,0.0,0.0,0.0
Danny Ings,ENG,FW,Aston Villa,Premier League,30,1992,9.2,16.0,1.75,12.0,0.0,2.0,2.0,0.0,0.0,1.0,0.11,0.0,0.0,1.0,0.0,0.0,0.0
Marcus Ingvartsen,DEN,FW,Mainz 05,Bundesliga,26,1996,14.6,21.0,1.44,14.0,0.0,3.0,2.0,2.0,0.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0
Bonke Innocent,NGA,MF,Lorient,Ligue 1,26,1996,13.1,17.0,1.3,14.0,0.0,0.0,2.0,0.0,1.0,4.0,0.3,4.0,0.0,0.0,0.0,0.0,0.0
Alexander Isak,SWE,FW,Newcastle Utd,Premier League,22,1999,16.9,49.0,2.9,29.0,0.0,5.0,11.0,3.0,1.0,5.0,0.3,1.0,0.0,2.0,1.0,1.0,0.0
Alexander Isak,SWE,FW,Real Sociedad,La Liga,22,1999,1.7,2.0,1.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isco,ESP,GK,Sevilla,La Liga,30,1992,8.9,32.0,3.6,22.0,5.0,2.0,0.0,2.0,1.0,3.0,0.34,2.0,0.0,1.0,0.0,0.0,0.0
Ismaily,BRA,DF,Lille,Ligue 1,32,1990,19.8,42.0,2.13,38.0,0.0,0.0,2.0,1.0,1.0,6.0,0.3,4.0,0.0,0.0,1.0,1.0,0.0
Ardian Ismajli,ALB,DF,Empoli,Serie A,25,1996,23.3,11.0,0.47,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ko Itakura,JPN,DF,M'Gladbach,Bundesliga,25,1997,22.0,18.0,0.82,13.0,0.0,1.0,3.0,1.0,0.0,4.0,0.18,3.0,0.0,0.0,1.0,0.0,0.0
Hiroki Ito,JPN,DF,Stuttgart,Bundesliga,23,1999,28.5,49.0,1.72,32.0,15.0,0.0,1.0,0.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0
Junya Ito,JPN,FW,Reims,Ligue 1,29,1993,32.4,141.0,4.35,97.0,19.0,15.0,4.0,5.0,1.0,12.0,0.37,8.0,2.0,2.0,0.0,0.0,0.0
Diego Iturralde,ESP,DF,Sevilla,La Liga,19,2003,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Ivan,ROU,MF,Schalke 04,Bundesliga,27,1995,0.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mihailo Ivanović,SRB,FW,Sampdoria,Serie A,17,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Iversen,DEN,GK,Leicester City,Premier League,25,1997,12.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,NGA,FW,Everton,Premier League,26,1996,37.5,120.0,3.2,91.0,9.0,8.0,7.0,3.0,2.0,9.0,0.24,8.0,0.0,0.0,0.0,1.0,0.0
Armando Izzo,ITA,DF,Monza,Serie A,30,1992,27.4,26.0,0.95,22.0,0.0,0.0,1.0,1.0,2.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0
Nicolas Jackson,SEN,FW,Villarreal,La Liga,21,2001,17.8,47.0,2.65,31.0,1.0,8.0,5.0,2.0,0.0,14.0,0.79,4.0,0.0,7.0,2.0,1.0,0.0
Lee Jae-sung,KOR,MF,Mainz 05,Bundesliga,29,1992,21.0,58.0,2.76,47.0,0.0,2.0,6.0,2.0,1.0,11.0,0.52,8.0,0.0,0.0,2.0,0.0,1.0
Paul Jaeckel,GER,DF,Union Berlin,Bundesliga,24,1998,13.3,11.0,0.83,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mato Jajalo,BIH,MF,Udinese,Serie A,34,1988,0.7,3.0,4.29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristijan Jakić,CRO,MF,Eint Frankfurt,Bundesliga,25,1997,16.2,18.0,1.11,15.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Jakob Olschowsky,GER,GK,M'Gladbach,Bundesliga,20,2001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismail Jakobs,SEN,MF,Monaco,Ligue 1,22,1999,12.4,30.0,2.41,24.0,2.0,1.0,3.0,0.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0
Marin Jakoliš,CRO,FW,Angers,Ligue 1,25,1996,0.3,2.0,6.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel James,WAL,FW,Leeds United,Premier League,24,1997,2.2,4.0,1.82,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel James,WAL,FW,Fulham,Premier League,24,1997,6.9,11.0,1.59,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reece James,ENG,DF,Chelsea,Premier League,22,1999,13.8,47.0,3.4,36.0,5.0,3.0,2.0,1.0,0.0,3.0,0.22,2.0,0.0,0.0,0.0,1.0,0.0
Vitaly Janelt,GER,MF,Brentford,Premier League,24,1998,24.5,47.0,1.91,39.0,1.0,2.0,3.0,0.0,2.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0
Saidy Janko,GAM,DF,Bochum,Bundesliga,26,1995,12.6,5.0,0.4,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pontus Jansson,SWE,DF,Brentford,Premier League,31,1991,8.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0
Tony Jantschke,GER,DF,M'Gladbach,Bundesliga,32,1990,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adnan Januzaj,BEL,FW,Sevilla,La Liga,27,1995,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javi,ESP,DF,Girona,La Liga,24,1998,12.4,24.0,1.94,20.0,0.0,1.0,3.0,0.0,0.0,3.0,0.24,3.0,0.0,0.0,0.0,0.0,0.0
Luis Javier Suárez,COL,FW,Almería,La Liga,24,1997,16.6,37.0,2.23,18.0,1.0,7.0,5.0,5.0,1.0,8.0,0.48,4.0,0.0,2.0,1.0,1.0,0.0
Luis Javier Suárez,COL,FW,Marseille,Ligue 1,24,1997,3.3,7.0,2.14,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.61,1.0,0.0,0.0,1.0,0.0,0.0
Dany Jean,HAI,FW,Strasbourg,Ligue 1,19,2002,0.1,1.0,6.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Jeanvier,GUI,DF,Auxerre,Ligue 1,30,1992,19.6,9.0,0.46,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson,BRA,FW,Lyon,Ligue 1,22,1999,5.0,19.0,3.83,12.0,0.0,3.0,0.0,4.0,0.0,3.0,0.61,2.0,0.0,0.0,0.0,1.0,0.0
Fredrik Jensen,FIN,MF,Augsburg,Bundesliga,24,1997,10.3,20.0,1.95,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Mathias Jensen,DEN,MF,Brentford,Premier League,26,1996,31.1,103.0,3.31,48.0,47.0,1.0,3.0,3.0,1.0,13.0,0.42,7.0,4.0,0.0,1.0,0.0,1.0
Moritz Jenz,GER,DF,Schalke 04,Bundesliga,23,1999,10.5,12.0,1.14,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesé,ESP,FW,Sampdoria,Serie A,29,1993,2.3,7.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.86,2.0,0.0,0.0,0.0,0.0,0.0
Gabriel Jesus,BRA,FW,Arsenal,Premier League,25,1997,22.9,83.0,3.62,43.0,1.0,12.0,11.0,13.0,3.0,12.0,0.52,8.0,0.0,1.0,1.0,2.0,0.0
Juan Jesus,BRA,DF,Napoli,Serie A,31,1991,10.4,13.0,1.25,10.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Raúl Jiménez,MEX,FW,Wolves,Premier League,31,1991,9.4,18.0,1.92,12.0,0.0,1.0,3.0,2.0,0.0,2.0,0.21,1.0,0.0,0.0,1.0,0.0,0.0
Joaquín,ESP,FW,Betis,La Liga,41,1981,5.5,29.0,5.37,23.0,3.0,1.0,1.0,1.0,0.0,2.0,0.37,2.0,0.0,0.0,0.0,0.0,0.0
Joelinton,BRA,FW,Newcastle Utd,Premier League,25,1996,29.6,80.0,2.71,54.0,1.0,9.0,8.0,7.0,1.0,10.0,0.34,4.0,1.0,2.0,2.0,1.0,0.0
Þórir Jóhann Helgason,ISL,MF,Lecce,Serie A,21,2000,2.5,7.0,2.84,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.41,1.0,0.0,0.0,0.0,0.0,0.0
Ben Johnson,ENG,DF,West Ham,Premier League,22,2000,9.6,8.0,0.83,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brennan Johnson,WAL,FW,Nott'ham Forest,Premier League,21,2001,32.6,55.0,1.69,36.0,0.0,6.0,7.0,5.0,1.0,11.0,0.34,5.0,0.0,1.0,3.0,2.0,0.0
Sam Johnstone,ENG,GK,Crystal Palace,Premier League,29,1993,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Joly,FRA,DF,Auxerre,Ligue 1,22,2000,9.6,18.0,1.87,14.0,0.0,2.0,1.0,1.0,0.0,3.0,0.31,1.0,0.0,1.0,0.0,1.0,0.0
Curtis Jones,ENG,MF,Liverpool,Premier League,21,2001,11.5,38.0,3.3,31.0,0.0,4.0,1.0,1.0,1.0,4.0,0.35,3.0,0.0,1.0,0.0,0.0,0.0
Frenkie de Jong,NED,MF,Barcelona,La Liga,25,1997,28.2,110.0,3.91,94.0,5.0,6.0,2.0,1.0,2.0,11.0,0.39,10.0,1.0,0.0,0.0,0.0,0.0
Joan Jordán,ESP,MF,Sevilla,La Liga,28,1994,17.7,30.0,1.7,23.0,3.0,0.0,0.0,2.0,2.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0
Filip Jörgensen,DEN,GK,Villarreal,La Liga,20,2002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorginho,ITA,MF,Arsenal,Premier League,30,1991,9.5,21.0,2.21,19.0,0.0,0.0,0.0,0.0,2.0,5.0,0.53,4.0,0.0,0.0,0.0,0.0,1.0
Jorginho,ITA,MF,Chelsea,Premier League,30,1991,14.2,29.0,2.04,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
Josan,ESP,MF,Elche,La Liga,32,1989,12.0,25.0,2.09,18.0,3.0,1.0,0.0,2.0,1.0,5.0,0.42,3.0,1.0,0.0,0.0,0.0,1.0
Willian José,BRA,FW,Betis,La Liga,30,1991,8.1,12.0,1.48,9.0,0.0,0.0,3.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,2.0,0.0,0.0
Joselu,ESP,FW,Espanyol,La Liga,32,1990,33.2,66.0,1.99,41.0,0.0,4.0,7.0,14.0,0.0,8.0,0.24,4.0,0.0,0.0,2.0,2.0,0.0
Mateo Joseph,ENG,MF,Leeds United,Premier League,18,2003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diogo Jota,POR,FW,Liverpool,Premier League,25,1996,12.6,33.0,2.63,23.0,0.0,3.0,5.0,2.0,0.0,5.0,0.4,4.0,0.0,1.0,0.0,0.0,0.0
Stevan Jovetić,MNE,FW,Hertha BSC,Bundesliga,32,1989,9.9,32.0,3.23,24.0,0.0,4.0,1.0,3.0,0.0,6.0,0.61,5.0,0.0,1.0,0.0,0.0,0.0
Luka Jović,SRB,DF,Fiorentina,Serie A,24,1997,17.0,48.0,2.82,33.0,0.0,5.0,8.0,2.0,0.0,4.0,0.23,3.0,0.0,1.0,0.0,0.0,0.0
Juanmi,ESP,FW,Betis,La Liga,29,1993,10.3,20.0,1.94,13.0,0.0,3.0,1.0,3.0,0.0,2.0,0.19,1.0,0.0,1.0,0.0,0.0,0.0
Juanpe,ESP,DF,Girona,La Liga,31,1991,15.8,15.0,0.95,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jubal,BRA,DF,Auxerre,Ligue 1,28,1993,35.7,19.0,0.53,13.0,3.0,0.0,2.0,1.0,0.0,2.0,0.06,1.0,0.0,0.0,0.0,1.0,0.0
Christopher Jullien,FRA,DF,Montpellier,Ligue 1,29,1993,29.9,19.0,0.63,16.0,1.0,0.0,2.0,0.0,0.0,4.0,0.13,3.0,0.0,0.0,1.0,0.0,0.0
Anthony Jung,GER,DF,Werder Bremen,Bundesliga,30,1991,29.1,40.0,1.38,37.0,1.0,1.0,0.0,1.0,0.0,7.0,0.24,7.0,0.0,0.0,0.0,0.0,0.0
Eli Junior Kroupi,FRA,FW,Lorient,Ligue 1,16,2006,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lago Junior,CIV,MF,Mallorca,La Liga,31,1990,0.6,1.0,1.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamed Junior Traorè,CIV,MF,Bournemouth,Premier League,22,2000,4.7,20.0,4.22,12.0,7.0,1.0,0.0,0.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0
Hamed Junior Traorè,CIV,MF,Sassuolo,Serie A,22,2000,6.6,26.0,3.96,21.0,5.0,0.0,0.0,0.0,0.0,6.0,0.91,4.0,2.0,0.0,0.0,0.0,0.0
Vinicius Júnior,BRA,FW,Real Madrid,La Liga,22,2000,31.4,161.0,5.13,103.0,2.0,27.0,11.0,17.0,1.0,21.0,0.67,12.0,0.0,4.0,4.0,0.0,1.0
Josip Juranović,CRO,DF,Union Berlin,Bundesliga,26,1995,10.4,30.0,2.89,14.0,14.0,0.0,2.0,0.0,0.0,3.0,0.29,1.0,2.0,0.0,0.0,0.0,0.0
James Justin,ENG,DF,Leicester City,Premier League,24,1998,13.9,21.0,1.51,17.0,0.0,2.0,0.0,2.0,0.0,2.0,0.14,0.0,0.0,1.0,0.0,1.0,0.0
Mathias Jørgensen,DEN,DF,Brentford,Premier League,32,1990,12.3,9.0,0.73,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0
Ozan Kabak,TUR,DF,Hoffenheim,Bundesliga,22,2000,26.5,15.0,0.57,7.0,0.0,1.0,3.0,1.0,3.0,4.0,0.15,1.0,0.0,1.0,1.0,0.0,1.0
Issa Kaboré,BFA,DF,Marseille,Ligue 1,21,2001,11.4,35.0,3.06,30.0,1.0,3.0,0.0,1.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0
Abdoul Kader Bamba,FRA,MF,Nantes,Ligue 1,28,1994,0.9,3.0,3.46,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavel Kadeřábek,CZE,DF,Hoffenheim,Bundesliga,30,1992,18.5,38.0,2.05,33.0,3.0,1.0,0.0,1.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0
Tino Kadewere,ZIM,FW,Mallorca,La Liga,26,1996,6.0,12.0,1.99,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaiky,BRA,DF,Almería,La Liga,18,2004,6.5,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian Kainz,AUT,MF,Köln,Bundesliga,29,1992,26.0,127.0,4.87,67.0,44.0,6.0,4.0,5.0,1.0,17.0,0.65,13.0,2.0,0.0,1.0,1.0,0.0
Gaël Kakuta,COD,FW,Lens,Ligue 1,31,1991,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sasa Kalajdzic,AUT,FW,Wolves,Premier League,25,1997,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sasa Kalajdzic,AUT,FW,Stuttgart,Bundesliga,25,1997,2.6,9.0,3.48,9.0,0.0,0.0,0.0,0.0,0.0,3.0,1.16,3.0,0.0,0.0,0.0,0.0,0.0
Arnaud Kalimuendo,FRA,FW,Rennes,Ligue 1,20,2002,20.5,35.0,1.7,24.0,0.0,1.0,6.0,3.0,1.0,6.0,0.29,5.0,0.0,0.0,1.0,0.0,0.0
Yayah Kallon,SLE,FW,Hellas Verona,Serie A,21,2001,9.6,30.0,3.14,24.0,0.0,2.0,1.0,3.0,0.0,2.0,0.21,1.0,0.0,0.0,1.0,0.0,0.0
Gedeon Kalulu,COD,DF,Lorient,Ligue 1,24,1997,27.1,41.0,1.51,35.0,1.0,3.0,1.0,1.0,0.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0
Pierre Kalulu,FRA,DF,Milan,Serie A,22,2000,28.3,33.0,1.17,28.0,2.0,0.0,2.0,0.0,1.0,3.0,0.11,2.0,1.0,0.0,0.0,0.0,0.0
Justin-Noël Kalumba,FRA,DF,Angers,Ligue 1,17,2004,6.1,8.0,1.32,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daichi Kamada,JPN,MF,Eint Frankfurt,Bundesliga,25,1996,25.2,85.0,3.38,67.0,4.0,5.0,3.0,5.0,1.0,17.0,0.68,13.0,1.0,0.0,1.0,2.0,0.0
Waren Kamanzi,NOR,DF,Toulouse,Ligue 1,21,2000,7.4,11.0,1.49,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bingourou Kamara,SEN,GK,Montpellier,Ligue 1,25,1996,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boubacar Kamara,FRA,MF,Aston Villa,Premier League,22,1999,19.7,23.0,1.17,19.0,0.0,1.0,0.0,3.0,0.0,4.0,0.2,2.0,0.0,1.0,0.0,1.0,0.0
Jakub Kamiński,POL,MF,Wolfsburg,Bundesliga,20,2002,22.9,69.0,3.02,61.0,0.0,4.0,1.0,1.0,2.0,14.0,0.61,14.0,0.0,0.0,0.0,0.0,0.0
Marcin Kamiński,POL,DF,Schalke 04,Bundesliga,30,1992,7.0,12.0,1.71,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0
Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,31,1990,15.2,41.0,2.69,39.0,0.0,0.0,1.0,0.0,1.0,5.0,0.33,5.0,0.0,0.0,0.0,0.0,0.0
Nordine Kandil,FRA,MF,Strasbourg,Ligue 1,20,2001,1.1,8.0,7.13,3.0,1.0,2.0,1.0,1.0,0.0,2.0,1.78,1.0,0.0,0.0,1.0,0.0,0.0
Harry Kane,ENG,FW,Tottenham,Premier League,29,1993,37.8,131.0,3.46,89.0,2.0,13.0,12.0,12.0,3.0,18.0,0.48,10.0,0.0,2.0,3.0,3.0,0.0
Wilfried Kanga,CIV,FW,Hertha BSC,Bundesliga,24,1998,15.7,34.0,2.16,28.0,0.0,3.0,1.0,2.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Lee Kangin,KOR,DF,Mallorca,La Liga,21,2001,31.4,113.0,3.6,49.0,37.0,12.0,6.0,7.0,2.0,13.0,0.41,5.0,5.0,2.0,1.0,0.0,0.0
N'Golo Kanté,FRA,MF,Chelsea,Premier League,31,1991,5.8,24.0,4.17,22.0,0.0,1.0,1.0,0.0,0.0,2.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0
Kenan Karaman,TUR,FW,Schalke 04,Bundesliga,28,1994,10.8,21.0,1.94,15.0,0.0,1.0,2.0,3.0,0.0,5.0,0.46,3.0,0.0,1.0,0.0,1.0,0.0
Yann Karamoh,FRA,FW,Torino,Serie A,24,1998,8.0,22.0,2.77,17.0,0.0,3.0,1.0,1.0,0.0,3.0,0.38,1.0,0.0,2.0,0.0,0.0,0.0
Atakan Karazor,GER,MF,Stuttgart,Bundesliga,25,1996,21.8,25.0,1.15,21.0,1.0,0.0,1.0,1.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0
Ayman Kari,FRA,MF,Lorient,Ligue 1,17,2004,1.1,7.0,6.56,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.94,1.0,0.0,0.0,0.0,0.0,0.0
Jon Karrikaburu,ESP,FW,Real Sociedad,La Liga,19,2002,1.0,2.0,1.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rick Karsdorp,NED,DF,Roma,Serie A,27,1995,7.9,16.0,2.03,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denso Kasius,NED,DF,Bologna,Serie A,19,2002,3.8,15.0,3.94,13.0,0.0,2.0,0.0,0.0,0.0,2.0,0.52,2.0,0.0,0.0,0.0,0.0,0.0
Thomas Kastanaras,GRE,FW,Stuttgart,Bundesliga,19,2003,0.8,2.0,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grigoris Kastanos,CYP,MF,Salernitana,Serie A,24,1998,14.3,36.0,2.52,25.0,7.0,1.0,1.0,2.0,0.0,5.0,0.35,1.0,2.0,0.0,1.0,1.0,0.0
Silas Katompa,COD,FW,Stuttgart,Bundesliga,23,1998,22.1,62.0,2.8,35.0,0.0,13.0,10.0,4.0,0.0,6.0,0.27,3.0,0.0,2.0,0.0,1.0,0.0
Moise Kean,ITA,FW,Juventus,Serie A,22,2000,11.1,31.0,2.8,21.0,0.0,4.0,5.0,0.0,1.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0
Michael Keane,ENG,DF,Everton,Premier League,29,1993,10.9,10.0,0.91,8.0,0.0,0.0,1.0,1.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0
Neeskens Kebano,COD,FW,Fulham,Premier League,30,1992,8.5,24.0,2.83,16.0,2.0,0.0,2.0,3.0,1.0,5.0,0.59,4.0,0.0,0.0,1.0,0.0,0.0
Kévin Keben Biakolo,CMR,DF,Toulouse,Ligue 1,18,2004,4.0,3.0,0.75,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thilo Kehrer,GER,DF,West Ham,Premier League,25,1996,24.8,24.0,0.97,17.0,4.0,0.0,3.0,0.0,0.0,4.0,0.16,2.0,1.0,0.0,1.0,0.0,0.0
Check Keita,FRA,DF,Reims,Ligue 1,19,2003,7.6,6.0,0.79,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naby Keïta,GUI,MF,Liverpool,Premier League,27,1995,3.3,12.0,3.67,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannik Keitel,GER,MF,Freiburg,Bundesliga,22,2000,7.6,11.0,1.45,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,23,1998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lloyd Kelly,ENG,DF,Bournemouth,Premier League,23,1998,22.7,16.0,0.71,13.0,1.0,0.0,1.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
