player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Marcin Kamiński,POL,DF,Schalke 04,Bundesliga,30,1992,7.0,254.0,314.0,80.9,5229.0,2285.0,81.0,88.0,92.0,124.0,144.0,86.1,47.0,73.0,64.4,0,0.1,0.1,-0.1,2.0,20.0,1.0,0.0,25.0
Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,31,1990,15.2,791.0,898.0,88.1,12894.0,3384.0,396.0,436.0,90.8,328.0,354.0,92.7,50.0,64.0,78.1,2,1.0,1.1,1.0,12.0,71.0,14.0,1.0,80.0
Nordine Kandil,FRA,MF,Strasbourg,Ligue 1,20,2001,1.1,44.0,61.0,72.1,565.0,140.0,27.0,31.0,87.1,13.0,21.0,61.9,1.0,3.0,33.3,1,0.8,0.8,0.2,2.0,4.0,2.0,0.0,6.0
Harry Kane,ENG,FW,Tottenham,Premier League,29,1993,37.8,642.0,921.0,69.7,12295.0,4345.0,286.0,368.0,77.7,236.0,302.0,78.1,103.0,164.0,62.8,3,7.0,4.0,-4.0,57.0,100.0,47.0,6.0,180.0
Wilfried Kanga,CIV,FW,Hertha BSC,Bundesliga,24,1998,15.7,154.0,251.0,61.4,1915.0,277.0,91.0,135.0,67.4,41.0,75.0,54.7,5.0,8.0,62.5,0,1.5,1.3,-1.5,20.0,8.0,5.0,2.0,12.0
Lee Kangin,KOR,DF,Mallorca,La Liga,21,2001,31.4,772.0,1103.0,70.0,12995.0,4205.0,400.0,465.0,86.0,249.0,317.0,78.5,89.0,227.0,39.2,6,5.4,5.0,0.6,54.0,75.0,30.0,11.0,96.0
N'Golo Kanté,FRA,MF,Chelsea,Premier League,31,1991,5.8,271.0,338.0,80.2,3935.0,1033.0,168.0,190.0,88.4,84.0,100.0,84.0,12.0,24.0,50.0,1,1.9,0.8,-0.9,13.0,23.0,11.0,3.0,34.0
Kenan Karaman,TUR,FW,Schalke 04,Bundesliga,28,1994,10.8,129.0,209.0,61.7,1740.0,514.0,84.0,118.0,71.2,35.0,55.0,63.6,5.0,12.0,41.7,2,1.4,1.3,0.6,7.0,13.0,9.0,2.0,18.0
Yann Karamoh,FRA,FW,Torino,Serie A,24,1998,8.0,163.0,216.0,75.5,2385.0,407.0,98.0,112.0,87.5,55.0,69.0,79.7,6.0,13.0,46.2,0,0.7,0.4,-0.7,11.0,5.0,5.0,3.0,12.0
Atakan Karazor,GER,MF,Stuttgart,Bundesliga,25,1996,21.8,945.0,1116.0,84.7,16475.0,4393.0,407.0,468.0,87.0,444.0,498.0,89.2,75.0,105.0,71.4,1,0.6,1.2,0.4,14.0,73.0,7.0,0.0,79.0
Ayman Kari,FRA,MF,Lorient,Ligue 1,17,2004,1.1,67.0,74.0,90.5,939.0,192.0,38.0,40.0,95.0,20.0,22.0,90.9,4.0,4.0,100.0,0,0.0,0.1,0.0,1.0,2.0,2.0,0.0,7.0
Jon Karrikaburu,ESP,FW,Real Sociedad,La Liga,19,2002,1.0,11.0,18.0,61.1,164.0,66.0,5.0,7.0,71.4,2.0,4.0,50.0,2.0,3.0,66.7,0,0.3,0.1,-0.3,1.0,2.0,1.0,0.0,4.0
Rick Karsdorp,NED,DF,Roma,Serie A,27,1995,7.9,295.0,380.0,77.6,5109.0,1611.0,134.0,153.0,87.6,131.0,155.0,84.5,27.0,53.0,50.9,0,1.2,1.1,-1.2,6.0,13.0,11.0,1.0,24.0
Denso Kasius,NED,DF,Bologna,Serie A,19,2002,3.8,143.0,192.0,74.5,2576.0,864.0,65.0,72.0,90.3,53.0,74.0,71.6,20.0,36.0,55.6,2,0.7,0.8,1.3,6.0,6.0,8.0,6.0,9.0
Thomas Kastanaras,GRE,FW,Stuttgart,Bundesliga,19,2003,0.8,14.0,17.0,82.4,175.0,38.0,8.0,9.0,88.9,3.0,3.0,100.0,1.0,1.0,100.0,0,0.1,0.0,-0.1,1.0,2.0,1.0,1.0,2.0
Grigoris Kastanos,CYP,MF,Salernitana,Serie A,24,1998,14.3,460.0,621.0,74.1,6840.0,2528.0,253.0,281.0,90.0,130.0,181.0,71.8,37.0,77.0,48.1,1,0.6,0.9,0.4,13.0,47.0,11.0,3.0,57.0
Silas Katompa,COD,FW,Stuttgart,Bundesliga,23,1998,22.1,295.0,399.0,73.9,4429.0,1102.0,163.0,203.0,80.3,105.0,127.0,82.7,14.0,27.0,51.9,2,1.9,2.7,0.1,18.0,17.0,18.0,5.0,40.0
Moise Kean,ITA,FW,Juventus,Serie A,22,2000,11.1,130.0,187.0,69.5,1655.0,337.0,79.0,101.0,78.2,30.0,42.0,71.4,5.0,9.0,55.6,0,1.1,0.6,-1.1,8.0,7.0,6.0,1.0,13.0
Michael Keane,ENG,DF,Everton,Premier League,29,1993,10.9,305.0,441.0,69.2,5849.0,2983.0,115.0,146.0,78.8,147.0,179.0,82.1,39.0,93.0,41.9,2,0.7,0.8,1.3,3.0,33.0,2.0,0.0,31.0
Neeskens Kebano,COD,FW,Fulham,Premier League,30,1992,8.5,155.0,212.0,73.1,2079.0,517.0,93.0,106.0,87.7,43.0,58.0,74.1,6.0,13.0,46.2,3,1.5,0.9,1.5,13.0,2.0,9.0,3.0,24.0
Kévin Keben Biakolo,CMR,DF,Toulouse,Ligue 1,18,2004,4.0,117.0,148.0,79.1,1797.0,613.0,58.0,66.0,87.9,50.0,62.0,80.6,5.0,11.0,45.5,0,0.2,0.1,-0.2,2.0,3.0,1.0,0.0,5.0
Thilo Kehrer,GER,DF,West Ham,Premier League,25,1996,24.8,927.0,1112.0,83.4,16374.0,6006.0,393.0,447.0,87.9,456.0,510.0,89.4,68.0,119.0,57.1,2,0.6,0.8,1.4,8.0,59.0,4.0,1.0,60.0
Check Keita,FRA,DF,Reims,Ligue 1,19,2003,7.6,264.0,305.0,86.6,5059.0,1150.0,90.0,100.0,90.0,146.0,154.0,94.8,22.0,35.0,62.9,0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,19.0
Naby Keïta,GUI,MF,Liverpool,Premier League,27,1995,3.3,129.0,168.0,76.8,1820.0,590.0,75.0,87.0,86.2,43.0,54.0,79.6,6.0,8.0,75.0,0,0.7,0.2,-0.7,8.0,15.0,2.0,0.0,15.0
Yannik Keitel,GER,MF,Freiburg,Bundesliga,22,2000,7.6,189.0,245.0,77.1,3239.0,681.0,91.0,104.0,87.5,77.0,104.0,74.0,18.0,27.0,66.7,2,0.1,0.3,1.9,4.0,18.0,2.0,0.0,26.0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,23,1998,1.0,23.0,24.0,95.8,539.0,344.0,7.0,7.0,100.0,12.0,12.0,100.0,4.0,5.0,80.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lloyd Kelly,ENG,DF,Bournemouth,Premier League,23,1998,22.7,934.0,1164.0,80.2,17585.0,7174.0,352.0,387.0,91.0,461.0,510.0,90.4,104.0,227.0,45.8,2,0.5,0.8,1.5,7.0,73.0,9.0,3.0,47.0
Marc-Oliver Kempf,GER,DF,Hertha BSC,Bundesliga,27,1995,30.1,1011.0,1303.0,77.6,19044.0,8004.0,379.0,441.0,85.9,518.0,608.0,85.2,99.0,197.0,50.3,0,1.1,0.9,-1.1,9.0,57.0,6.0,0.0,81.0
Kenedy,BRA,MF,Valladolid,La Liga,26,1996,3.1,57.0,86.0,66.3,800.0,232.0,34.0,42.0,81.0,19.0,25.0,76.0,2.0,10.0,20.0,1,0.6,0.6,0.4,4.0,7.0,2.0,2.0,4.0
Jonjoe Kenny,ENG,DF,Hertha BSC,Bundesliga,25,1997,24.9,879.0,1207.0,72.8,16249.0,7774.0,356.0,424.0,84.0,406.0,526.0,77.2,98.0,192.0,51.0,1,2.1,1.7,-1.1,17.0,89.0,13.0,9.0,98.0
Franck Kessié,CIV,MF,Barcelona,La Liga,25,1996,11.0,391.0,457.0,85.6,5955.0,1170.0,207.0,231.0,89.6,152.0,174.0,87.4,20.0,29.0,69.0,1,0.7,0.9,0.3,8.0,23.0,6.0,1.0,39.0
Saîf-Eddine Khaoui,TUN,MF,Clermont Foot,Ligue 1,27,1995,22.5,486.0,713.0,68.2,7402.0,2642.0,249.0,314.0,79.3,165.0,224.0,73.7,36.0,106.0,34.0,3,3.8,1.9,-0.8,38.0,50.0,14.0,2.0,72.0
Wahbi Khazri,TUN,FW,Montpellier,Ligue 1,31,1991,18.2,344.0,483.0,71.2,6049.0,1925.0,159.0,199.0,79.9,110.0,143.0,76.9,53.0,90.0,58.9,1,1.6,1.6,-0.6,19.0,41.0,12.0,2.0,49.0
Rani Khedira,GER,MF,Union Berlin,Bundesliga,28,1994,32.0,778.0,1039.0,74.9,12596.0,3156.0,371.0,439.0,84.5,326.0,408.0,79.9,52.0,119.0,43.7,0,0.7,1.2,-0.7,8.0,63.0,7.0,3.0,69.0
Anthony Khelifa,FRA,DF,Ajaccio,Ligue 1,16,2005,0.1,11.0,12.0,91.7,215.0,55.0,3.0,3.0,100.0,7.0,8.0,87.5,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Kike,ESP,FW,Osasuna,La Liga,32,1989,11.3,167.0,244.0,68.4,2161.0,275.0,109.0,130.0,83.8,40.0,64.0,62.5,6.0,16.0,37.5,0,1.1,0.8,-1.1,13.0,13.0,7.0,0.0,15.0
Luca Kilian,GER,DF,Köln,Bundesliga,22,1999,12.5,585.0,685.0,85.4,11572.0,3324.0,147.0,169.0,87.0,377.0,399.0,94.5,56.0,101.0,55.4,0,0.2,0.2,-0.2,3.0,38.0,1.0,0.0,53.0
Max Kilman,ENG,DF,Wolves,Premier League,25,1997,36.7,1748.0,2107.0,83.0,34713.0,12450.0,574.0,621.0,92.4,964.0,1046.0,92.2,189.0,384.0,49.2,0,0.2,0.6,-0.2,4.0,133.0,7.0,2.0,127.0
Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,27,1995,31.2,2333.0,2767.0,84.3,43859.0,14050.0,954.0,1017.0,93.8,1036.0,1151.0,90.0,306.0,512.0,59.8,6,7.0,9.0,-1.0,84.0,272.0,68.0,4.0,315.0
Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,26,1995,8.1,471.0,503.0,93.6,7240.0,2911.0,243.0,251.0,96.8,194.0,202.0,96.0,22.0,26.0,84.6,0,0.2,0.3,-0.2,1.0,36.0,1.0,0.0,40.0
Jakub Kiwior,POL,DF,Arsenal,Premier League,22,2000,4.7,177.0,205.0,86.3,3030.0,924.0,62.0,70.0,88.6,104.0,109.0,95.4,7.0,15.0,46.7,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0
Jakub Kiwior,POL,DF,Spezia,Serie A,22,2000,16.0,653.0,775.0,84.3,13165.0,4165.0,209.0,238.0,87.8,343.0,371.0,92.5,93.0,147.0,63.3,0,0.2,0.6,-0.2,4.0,25.0,5.0,0.0,37.0
Simon Kjær,DEN,DF,Milan,Serie A,33,1989,11.2,591.0,683.0,86.5,12451.0,4463.0,175.0,193.0,90.7,313.0,331.0,94.6,99.0,152.0,65.1,0,0.0,0.2,0.0,0.0,47.0,1.0,0.0,45.0
Pascal Klemens,GER,DF,Hertha BSC,Bundesliga,17,2005,1.0,28.0,33.0,84.8,546.0,302.0,11.0,11.0,100.0,11.0,15.0,73.3,5.0,6.0,83.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Mateusz Klich,POL,DF,Leeds United,Premier League,32,1990,3.1,108.0,148.0,73.0,1411.0,387.0,61.0,69.0,88.4,28.0,34.0,82.4,5.0,17.0,29.4,0,0.2,0.2,-0.2,5.0,6.0,5.0,0.0,16.0
Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,26,1996,10.1,687.0,784.0,87.6,12138.0,3677.0,282.0,305.0,92.5,355.0,380.0,93.4,44.0,79.0,55.7,0,0.1,0.5,-0.1,1.0,36.0,3.0,0.0,40.0
Justin Kluivert,NED,FW,Valencia,La Liga,23,1999,16.1,276.0,399.0,69.2,4236.0,977.0,163.0,203.0,80.3,80.0,112.0,71.4,23.0,50.0,46.0,0,2.4,2.1,-2.4,23.0,15.0,21.0,10.0,33.0
Ansgar Knauff,GER,DF,Eint Frankfurt,Bundesliga,20,2002,14.3,455.0,683.0,66.6,7020.0,2807.0,236.0,301.0,78.4,183.0,268.0,68.3,25.0,57.0,43.9,1,1.6,2.4,-0.6,8.0,27.0,14.0,4.0,40.0
Robin Knoche,GER,DF,Union Berlin,Bundesliga,30,1992,31.9,1332.0,1643.0,81.1,28246.0,10955.0,362.0,409.0,88.5,764.0,843.0,90.6,199.0,347.0,57.3,3,0.8,1.1,2.2,5.0,98.0,7.0,3.0,98.0
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,24,1997,27.0,871.0,1049.0,83.0,22004.0,13496.0,179.0,179.0,100.0,455.0,459.0,99.1,234.0,406.0,57.6,0,0.0,0.1,0.0,0.0,13.0,1.0,0.0,0.0
Robin Koch,GER,DF,Leeds United,Premier League,26,1996,35.3,1229.0,1594.0,77.1,23945.0,10673.0,409.0,485.0,84.3,665.0,772.0,86.1,141.0,285.0,49.5,0,0.4,0.5,-0.4,6.0,121.0,7.0,0.0,114.0
Samuel Koeberlé,FRA,MF,Reims,Ligue 1,17,2004,0.0,5.0,6.0,83.3,43.0,25.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rudy Kohon,FRA,DF,Troyes,Ligue 1,18,2004,0.7,24.0,28.0,85.7,433.0,191.0,8.0,9.0,88.9,14.0,15.0,93.3,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Dominik Kohr,GER,MF,Mainz 05,Bundesliga,28,1994,25.5,865.0,1183.0,73.1,14381.0,4919.0,413.0,494.0,83.6,361.0,467.0,77.3,64.0,141.0,45.4,0,1.0,1.5,-1.0,16.0,111.0,16.0,0.0,144.0
Koke,ESP,MF,Atlético Madrid,La Liga,30,1992,28.3,1784.0,2038.0,87.5,27145.0,8772.0,990.0,1055.0,93.8,578.0,649.0,89.1,127.0,187.0,67.9,3,1.7,1.7,1.3,28.0,179.0,19.0,3.0,175.0
Sead Kolašinac,BIH,DF,Marseille,Ligue 1,29,1993,24.6,1135.0,1333.0,85.1,17773.0,4570.0,572.0,628.0,91.1,478.0,549.0,87.1,48.0,84.0,57.1,1,0.9,1.7,0.1,11.0,93.0,11.0,2.0,109.0
Luca Koleosho,ITA,FW,Espanyol,La Liga,17,2004,0.7,18.0,28.0,64.3,231.0,34.0,10.0,11.0,90.9,7.0,12.0,58.3,0.0,1.0,0.0,0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,1.0
Randal Kolo Muani,FRA,FW,Eint Frankfurt,Bundesliga,23,1998,29.2,419.0,649.0,64.6,5454.0,1212.0,263.0,373.0,70.5,109.0,158.0,69.0,18.0,34.0,52.9,11,6.5,5.8,4.5,41.0,25.0,23.0,2.0,61.0
Timothée Kolodziejczak,FRA,DF,Schalke 04,Bundesliga,30,1991,0.3,14.0,17.0,82.4,289.0,157.0,8.0,8.0,100.0,3.0,5.0,60.0,3.0,4.0,75.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Cheick Konaté,CIV,DF,Clermont Foot,Ligue 1,18,2004,6.4,228.0,314.0,72.6,4007.0,1579.0,96.0,118.0,81.4,107.0,136.0,78.7,20.0,43.0,46.5,0,0.2,0.2,-0.2,2.0,14.0,3.0,1.0,21.0
Ibrahima Konaté,FRA,DF,Liverpool,Premier League,23,1999,17.2,988.0,1135.0,87.0,17712.0,6925.0,374.0,413.0,90.6,539.0,588.0,91.7,59.0,109.0,54.1,0,0.1,0.8,-0.1,1.0,56.0,2.0,0.0,56.0
Geoffrey Kondogbia,CTA,MF,Atlético Madrid,La Liga,29,1993,11.2,567.0,634.0,89.4,8841.0,2652.0,313.0,337.0,92.9,186.0,203.0,91.6,44.0,59.0,74.6,2,0.9,0.3,1.1,5.0,45.0,3.0,0.0,42.0
Ibrahima Koné,MLI,FW,Lorient,Ligue 1,23,1999,17.5,240.0,359.0,66.9,2822.0,790.0,151.0,205.0,73.7,59.0,100.0,59.0,3.0,7.0,42.9,1,1.0,1.0,0.0,15.0,17.0,3.0,0.0,27.0
Kouadio Koné,FRA,MF,M'Gladbach,Bundesliga,21,2001,29.0,1187.0,1377.0,86.2,18142.0,5847.0,644.0,704.0,91.5,451.0,505.0,89.3,58.0,89.0,65.2,1,1.3,1.3,-0.3,20.0,139.0,16.0,0.0,166.0
Youssouf Koné,MLI,DF,Ajaccio,Ligue 1,27,1995,10.2,322.0,426.0,75.6,5724.0,2090.0,157.0,177.0,88.7,117.0,142.0,82.4,43.0,93.0,46.2,0,0.1,0.1,-0.1,1.0,22.0,3.0,2.0,23.0
Ezri Konsa,ENG,DF,Aston Villa,Premier League,24,1997,36.9,1681.0,1898.0,88.6,30731.0,10578.0,608.0,663.0,91.7,938.0,997.0,94.1,120.0,202.0,59.4,0,1.3,0.7,-1.3,8.0,70.0,4.0,2.0,56.0
Teun Koopmeiners,NED,MF,Atalanta,Serie A,24,1998,31.8,1271.0,1727.0,73.6,23257.0,8953.0,532.0,612.0,86.9,530.0,665.0,79.7,160.0,344.0,46.5,4,6.4,6.9,-2.4,58.0,154.0,51.0,15.0,186.0
Odilon Kossonou,CIV,DF,Leverkusen,Bundesliga,21,2001,16.9,808.0,973.0,83.0,13429.0,4790.0,367.0,404.0,90.8,382.0,437.0,87.4,47.0,93.0,50.5,1,0.1,0.6,0.9,3.0,61.0,3.0,1.0,77.0
Filip Kostić,SRB,DF,Juventus,Serie A,29,1992,28.5,830.0,1212.0,68.5,14092.0,4148.0,413.0,489.0,84.5,309.0,431.0,71.7,86.0,195.0,44.1,8,7.1,4.8,0.9,66.0,44.0,47.0,31.0,78.0
Filip Kostić,SRB,DF,Eint Frankfurt,Bundesliga,29,1992,0.8,23.0,40.0,57.5,469.0,260.0,8.0,11.0,72.7,12.0,16.0,75.0,3.0,11.0,27.3,0,0.1,0.1,-0.1,1.0,1.0,1.0,0.0,4.0
Christian Kouamé,CIV,FW,Fiorentina,Serie A,24,1997,20.7,468.0,661.0,70.8,6983.0,1648.0,275.0,348.0,79.0,134.0,194.0,69.1,32.0,55.0,58.2,4,3.7,2.8,0.3,39.0,29.0,31.0,10.0,54.0
Rominigue Kouamé,MLI,MF,Troyes,Ligue 1,25,1996,29.6,1244.0,1403.0,88.7,22131.0,5532.0,513.0,558.0,91.9,574.0,636.0,90.3,119.0,144.0,82.6,1,2.1,1.5,-1.1,23.0,145.0,13.0,2.0,169.0
Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,29,1992,11.0,349.0,510.0,68.4,10659.0,7933.0,62.0,62.0,100.0,167.0,168.0,99.4,120.0,280.0,42.9,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Kalidou Koulibaly,SEN,DF,Chelsea,Premier League,31,1991,20.0,1275.0,1471.0,86.7,22422.0,9023.0,564.0,598.0,94.3,595.0,653.0,91.1,96.0,175.0,54.9,1,0.4,0.4,0.6,7.0,83.0,9.0,1.0,81.0
Jules Koundé,FRA,DF,Barcelona,La Liga,23,1998,27.0,1775.0,2024.0,87.7,29836.0,9690.0,827.0,895.0,92.4,792.0,866.0,91.5,123.0,182.0,67.6,3,2.8,2.3,0.2,16.0,176.0,15.0,6.0,185.0
Boubakar Kouyaté,MLI,DF,Montpellier,Ligue 1,25,1997,14.0,499.0,611.0,81.7,9797.0,3098.0,138.0,169.0,81.7,286.0,320.0,89.4,63.0,100.0,63.0,0,0.1,0.3,-0.1,2.0,24.0,0.0,0.0,27.0
Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,Premier League,32,1989,9.8,185.0,246.0,75.2,2908.0,882.0,90.0,120.0,75.0,62.0,74.0,83.8,18.0,25.0,72.0,0,0.7,0.3,-0.7,7.0,13.0,2.0,0.0,19.0
Mateo Kovačić,CRO,MF,Chelsea,Premier League,28,1994,19.0,1130.0,1319.0,85.7,18537.0,5579.0,555.0,614.0,90.4,470.0,522.0,90.0,76.0,120.0,63.3,2,2.1,2.1,-0.1,23.0,158.0,23.0,1.0,153.0
Viktor Kovalenko,UKR,MF,Spezia,Serie A,26,1996,6.1,189.0,241.0,78.4,2975.0,643.0,102.0,113.0,90.3,72.0,88.0,81.8,13.0,25.0,52.0,0,0.6,0.5,-0.6,6.0,7.0,4.0,1.0,22.0
Soichiro Kozuki,JPN,FW,Schalke 04,Bundesliga,21,2000,4.2,52.0,85.0,61.2,950.0,298.0,27.0,36.0,75.0,17.0,31.0,54.8,8.0,12.0,66.7,0,0.3,0.4,-0.3,4.0,3.0,3.0,2.0,10.0
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,27,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Král,CZE,MF,Schalke 04,Bundesliga,24,1998,26.2,586.0,847.0,69.2,10138.0,3421.0,255.0,335.0,76.1,256.0,331.0,77.3,51.0,103.0,49.5,0,0.7,1.8,-0.7,11.0,73.0,16.0,5.0,100.0
Andrej Kramarić,CRO,FW,Hoffenheim,Bundesliga,31,1991,26.5,790.0,998.0,79.2,11993.0,2558.0,449.0,512.0,87.7,234.0,295.0,79.3,65.0,95.0,68.4,4,2.2,2.8,1.8,34.0,83.0,23.0,3.0,100.0
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,31,1991,24.7,1020.0,1233.0,82.7,14647.0,4393.0,595.0,663.0,89.7,331.0,392.0,84.4,43.0,70.0,61.4,0,2.0,1.9,-2.0,15.0,61.0,11.0,2.0,79.0
Tom Krauß,GER,MF,Schalke 04,Bundesliga,21,2001,27.9,578.0,804.0,71.9,8976.0,2927.0,291.0,376.0,77.4,233.0,284.0,82.0,35.0,70.0,50.0,0,0.9,1.4,-0.9,11.0,55.0,15.0,3.0,86.0
Julian Kristoffersen,NOR,FW,Salernitana,Serie A,25,1997,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raimonds Krollis,LVA,FW,Spezia,Serie A,20,2001,0.4,5.0,7.0,71.4,57.0,23.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Toni Kroos,GER,MF,Real Madrid,La Liga,32,1990,23.9,2255.0,2482.0,90.9,42174.0,15247.0,991.0,1022.0,97.0,907.0,964.0,94.1,314.0,419.0,74.9,4,4.4,5.5,-0.4,55.0,372.0,26.0,7.0,319.0
Rade Krunić,BIH,MF,Milan,Serie A,28,1993,18.4,819.0,955.0,85.8,12702.0,3734.0,403.0,460.0,87.6,337.0,372.0,90.6,43.0,59.0,72.9,1,1.1,1.0,-0.1,15.0,61.0,12.0,0.0,73.0
Max Kruse,GER,DF,Wolfsburg,Bundesliga,34,1988,3.0,90.0,121.0,74.4,1644.0,240.0,36.0,49.0,73.5,42.0,48.0,87.5,9.0,12.0,75.0,0,0.1,0.2,-0.1,3.0,4.0,3.0,1.0,7.0
Lukas Kübler,GER,DF,Freiburg,Bundesliga,29,1992,18.2,569.0,827.0,68.8,10273.0,3706.0,240.0,294.0,81.6,244.0,333.0,73.3,67.0,146.0,45.9,1,0.4,0.7,0.6,7.0,59.0,9.0,4.0,57.0
Takefusa Kubo,JPN,GK,Real Sociedad,La Liga,21,2001,27.1,621.0,875.0,71.0,8389.0,2340.0,382.0,454.0,84.1,174.0,249.0,69.9,29.0,65.0,44.6,4,6.0,5.4,-2.0,39.0,33.0,34.0,4.0,81.0
Dejan Kulusevski,SWE,MF,Tottenham,Premier League,22,2000,23.0,582.0,746.0,78.0,8120.0,2005.0,355.0,410.0,86.6,179.0,226.0,79.2,25.0,51.0,49.0,7,4.7,4.8,2.3,47.0,14.0,38.0,11.0,67.0
Sael Kumbedi,FRA,DF,Lyon,Ligue 1,17,2005,14.7,653.0,794.0,82.2,9708.0,2434.0,365.0,403.0,90.6,236.0,290.0,81.4,31.0,58.0,53.4,2,1.2,1.5,0.8,10.0,30.0,9.0,3.0,40.0
Marash Kumbulla,ALB,DF,Roma,Serie A,22,2000,2.9,157.0,180.0,87.2,2847.0,772.0,65.0,67.0,97.0,80.0,85.0,94.1,9.0,22.0,40.9,0,0.1,0.0,-0.1,1.0,3.0,0.0,0.0,8.0
Pierre Kunde,CMR,MF,Bochum,Bundesliga,27,1995,4.2,119.0,202.0,58.9,2164.0,730.0,51.0,68.0,75.0,53.0,81.0,65.4,13.0,46.0,28.3,0,0.2,0.2,-0.2,4.0,18.0,3.0,2.0,16.0
Alou Kuol,AUS,FW,Stuttgart,Bundesliga,21,2000,0.1,1.0,1.0,100.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Layvin Kurzawa,FRA,DF,Fulham,Premier League,29,1992,1.5,28.0,41.0,68.3,408.0,135.0,12.0,13.0,92.3,14.0,19.0,73.7,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
Khvicha Kvaratskhelia,GEO,FW,Napoli,Serie A,21,2001,28.0,900.0,1136.0,79.2,12766.0,2560.0,570.0,623.0,91.5,225.0,301.0,74.8,63.0,118.0,53.4,10,7.7,6.6,2.3,54.0,41.0,46.0,8.0,91.0
Grejohn Kyei,FRA,FW,Clermont Foot,Ligue 1,26,1995,24.8,376.0,527.0,71.3,5521.0,891.0,212.0,277.0,76.5,112.0,152.0,73.7,24.0,34.0,70.6,3,1.6,1.5,1.4,15.0,31.0,11.0,2.0,37.0
Daniel Kyereh,GHA,MF,Freiburg,Bundesliga,26,1996,6.2,139.0,182.0,76.4,1649.0,285.0,97.0,118.0,82.2,26.0,35.0,74.3,4.0,8.0,50.0,0,0.3,0.8,-0.3,3.0,3.0,3.0,1.0,11.0
Giorgos Kyriakopoulos,GRE,DF,Bologna,Serie A,26,1996,7.8,318.0,413.0,77.0,4904.0,2157.0,177.0,193.0,91.7,105.0,128.0,82.0,26.0,65.0,40.0,2,0.8,1.1,1.2,9.0,22.0,11.0,6.0,23.0
Giorgos Kyriakopoulos,GRE,DF,Sassuolo,Serie A,26,1996,8.5,300.0,391.0,76.7,5430.0,2158.0,148.0,165.0,89.7,103.0,125.0,82.4,44.0,81.0,54.3,1,1.4,0.9,-0.4,14.0,23.0,14.0,9.0,32.0
César de la Hoz,ESP,MF,Almería,La Liga,30,1992,18.6,435.0,556.0,78.2,8183.0,2869.0,185.0,212.0,87.3,189.0,226.0,83.6,56.0,93.0,60.2,0,0.9,0.9,-0.9,5.0,54.0,5.0,2.0,49.0
Luca de la Torre,USA,MF,Celta Vigo,La Liga,24,1998,16.5,510.0,613.0,83.2,7305.0,1296.0,304.0,327.0,93.0,167.0,191.0,87.4,21.0,39.0,53.8,2,1.4,1.3,0.6,13.0,51.0,7.0,2.0,62.0
Rémy Labeau Lascary,GLP,FW,Lens,Ligue 1,19,2003,1.4,23.0,29.0,79.3,383.0,126.0,11.0,14.0,78.6,7.0,9.0,77.8,3.0,3.0,100.0,0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0
