player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,28,1994,13.5,243.0,415.0,58.6,3550.0,613.0,153.0,231.0,66.2,55.0,104.0,52.9,22.0,28.0,78.6,1,1.7,1.6,-0.7,13.0,17.0,8.0,0.0,31.0
Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,1912.0,2056.0,93.0,32634.0,10258.0,867.0,902.0,96.1,903.0,945.0,95.6,117.0,166.0,70.5,1,0.4,1.0,0.6,7.0,140.0,3.0,1.0,116.0
Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,1639.0,1813.0,90.4,26199.0,8953.0,803.0,846.0,94.9,745.0,809.0,92.1,63.0,98.0,64.3,0,0.7,1.3,-0.7,9.0,165.0,9.0,1.0,140.0
Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,821.0,1061.0,77.4,13314.0,5012.0,430.0,485.0,88.7,315.0,386.0,81.6,52.0,128.0,40.6,0,2.0,2.2,-2.0,21.0,43.0,22.0,17.0,58.0
Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,2.0,2.0,100.0,41.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,20,2002,4.5,130.0,168.0,77.4,1613.0,498.0,78.0,91.0,85.7,34.0,46.0,73.9,3.0,7.0,42.9,0,0.5,0.5,-0.5,6.0,12.0,5.0,0.0,16.0
Paul Akouokou,CIV,MF,Betis,La Liga,24,1997,5.0,160.0,174.0,92.0,2670.0,645.0,71.0,73.0,97.3,66.0,69.0,95.7,14.0,18.0,77.8,0,0.0,0.1,0.0,0.0,13.0,1.0,0.0,10.0
Jean-Daniel Akpa-Akpro,CIV,MF,Empoli,Serie A,29,1992,15.1,302.0,406.0,74.4,4399.0,1671.0,167.0,201.0,83.1,96.0,118.0,81.4,18.0,36.0,50.0,1,1.0,1.2,0.0,6.0,24.0,9.0,2.0,39.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,814.0,1024.0,79.5,15380.0,5931.0,275.0,319.0,86.2,437.0,495.0,88.3,83.0,162.0,51.2,0,0.5,0.8,-0.5,5.0,83.0,10.0,3.0,85.0
David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,1042.0,1189.0,87.6,15258.0,5475.0,601.0,626.0,96.0,340.0,388.0,87.6,53.0,99.0,53.5,3,1.1,1.3,1.9,16.0,68.0,9.0,4.0,67.0
Ángel Alarcón,ESP,MF,Barcelona,La Liga,18,2004,0.3,4.0,5.0,80.0,40.0,7.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,78.0,95.0,82.1,1688.0,582.0,28.0,32.0,87.5,27.0,34.0,79.4,20.0,25.0,80.0,0,0.1,0.1,-0.1,2.0,11.0,1.0,0.0,9.0
Lucas Alario,ARG,FW,Eint Frankfurt,Bundesliga,29,1992,3.7,56.0,85.0,65.9,792.0,190.0,29.0,41.0,70.7,20.0,28.0,71.4,4.0,5.0,80.0,0,0.0,0.4,0.0,1.0,4.0,0.0,0.0,8.0
Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,1217.0,1460.0,83.4,19141.0,5490.0,668.0,728.0,91.8,441.0,521.0,84.6,78.0,139.0,56.1,3,6.2,6.7,-3.2,38.0,120.0,43.0,15.0,141.0
Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,1640.0,1988.0,82.5,25338.0,8690.0,905.0,986.0,91.8,560.0,646.0,86.7,116.0,238.0,48.7,7,7.0,6.3,0.0,66.0,210.0,56.0,1.0,248.0
